57.224,0.0028023,0.0024705,0.0010661,0.00083182
59.948,0.0024493,0.0021526,0.0009156,0.00071471
62.803,0.0021407,0.0018757,0.00078639,0.00061409
65.793,0.001871,0.0016343,0.00067541,0.00052763
68.926,0.0016353,0.001424,0.0005801,0.00045335
72.208,0.0014291,0.0012404,0.00049775,0.00038917
75.646,0.0012487,0.0010799,0.00042655,0.00033366
79.248,0.001091,0.00094024,0.00036553,0.00028607
83.022,0.00095327,0.00081861,0.00031324,0.00024527
86.975,0.00083291,0.00071272,0.00026843,0.00021028
91.116,0.00072761,0.00062027,0.00022978,0.00018009
95.455,0.00063551,0.00053957,0.00019646,0.00015405
100.0,0.00055506,0.00046937,0.00016797,0.00013178
1.0,219.98,213.06,134.46,96.099
1.0476,194.48,188.64,119.32,85.292
1.0975,171.94,167.02,105.88,75.7
1.1498,151.96,147.76,93.855,67.134
1.2045,134.26,130.63,83.119,59.494
1.2619,118.63,115.49,73.61,52.724
1.3219,104.81,102.1,65.19,46.724
1.3849,92.603,90.264,57.732,41.406
1.4508,81.742,79.751,51.075,36.666
1.5199,72.105,70.431,45.15,32.449
1.5923,63.604,62.2,39.913,28.717
1.6681,56.106,54.931,35.284,25.415
1.7475,49.491,48.511,31.191,22.492
1.8307,43.701,42.842,27.543,19.888
1.9179,38.613,37.836,24.305,17.577
2.0092,34.118,33.415,21.448,15.535
2.1049,30.145,29.511,18.926,13.73
2.2051,26.635,26.062,16.701,12.134
2.3101,23.505,22.993,14.721,10.715
2.4201,20.731,20.274,12.969,9.4566
2.5354,18.283,17.877,11.425,8.3463
2.6561,16.125,15.764,10.065,7.3663
2.7826,14.221,13.9,8.8673,6.5013
2.9151,12.512,12.238,7.8026,5.7317
3.0539,10.998,10.768,6.8626,5.0512
3.1993,9.6673,9.4744,6.0358,4.4515
3.3516,8.4973,8.3363,5.3086,3.9229
3.5112,7.4689,7.3349,4.6691,3.457
3.6784,6.5735,6.4528,4.101,3.0426
3.8535,5.7876,5.6766,3.6007,2.6769
4.037,5.0956,4.9937,3.1614,2.3551
4.2292,4.4863,4.3929,2.7757,2.0719
4.4306,3.9498,3.8643,2.4371,1.8228
4.6416,3.4744,3.3959,2.1365,1.6012
4.8626,3.0557,2.9836,1.8724,1.4062
5.0941,2.6873,2.6213,1.641,1.2349
5.3367,2.3634,2.303,1.4382,1.0844
5.5908,2.0785,2.0233,1.2604,0.95225
5.857,1.8264,1.7758,1.1029,0.83483
6.1359,1.6047,1.5583,0.9648,0.73171
6.4281,1.4099,1.3674,0.84402,0.64132
6.7342,1.2387,1.1999,0.73836,0.56208
7.0548,1.0883,1.0529,0.64592,0.49263
7.3907,0.95537,0.92295,0.56409,0.43093
7.7426,0.83864,0.80894,0.49256,0.37689
8.1113,0.73616,0.70901,0.4301,0.32963
8.4975,0.6462,0.62142,0.37556,0.28829
8.9022,0.56723,0.54465,0.32793,0.25213
9.326,0.49751,0.47686,0.2858,0.22001
9.7701,0.43635,0.41749,0.24907,0.19197
10.235,0.3827,0.36551,0.21706,0.1675
10.723,0.33564,0.32,0.18917,0.14615
11.233,0.29436,0.28015,0.16485,0.12751
11.768,0.25797,0.24504,0.14339,0.111
12.328,0.22607,0.21433,0.12472,0.096622
12.915,0.19811,0.18747,0.10848,0.084107
13.53,0.17361,0.16397,0.094356,0.073213
14.175,0.15213,0.14341,0.08206,0.063718
14.85,0.13323,0.12534,0.071241,0.055339
15.557,0.11667,0.10955,0.061848,0.048062
16.298,0.10217,0.095741,0.053694,0.041741
17.074,0.089477,0.083676,0.046615,0.036252
17.886,0.078351,0.073125,0.040459,0.031476
18.738,0.06858,0.06387,0.035059,0.027279
19.63,0.060028,0.055787,0.030379,0.023641
20.565,0.052541,0.048726,0.026324,0.020488
21.544,0.045988,0.042559,0.022811,0.017756
22.57,0.04025,0.037169,0.01976,0.015383
23.645,0.035219,0.032448,0.01709,0.013305
24.771,0.030816,0.028327,0.014781,0.011508
25.95,0.026964,0.024729,0.012784,0.0099537
27.186,0.023593,0.021588,0.011057,0.0086093
28.48,0.020643,0.018844,0.0095596,0.0074433
29.836,0.018058,0.016444,0.0082527,0.0064258
31.257,0.015797,0.014349,0.0071244,0.0055474
32.745,0.013819,0.012521,0.0061504,0.0047891
34.305,0.012089,0.010926,0.0053096,0.0041345
35.938,0.010575,0.009533,0.0045813,0.0035675
37.649,0.0092483,0.008315,0.0039474,0.0030741
39.442,0.0080884,0.0072527,0.0034011,0.002649
41.32,0.0070739,0.0063261,0.0029305,0.0022827
43.288,0.0061866,0.0055179,0.002525,0.001967
45.349,0.00541,0.0048121,0.0021742,0.0016939
47.508,0.0047298,0.004195,0.0018695,0.0014569
49.77,0.0041351,0.003657,0.0016076,0.0012531
52.14,0.0036152,0.0031881,0.0013823,0.0010777
54.623,0.0031606,0.0027792,0.0011886,0.00092695
57.224,0.0027627,0.0024222,0.0010213,0.00079667
59.948,0.0024143,0.00211,0.0008763,0.00068384
62.803,0.0021099,0.0018381,0.00075191,0.000587
65.793,0.0018438,0.0016012,0.00064517,0.00050387
68.926,0.0016112,0.0013949,0.0005536,0.00043252
72.208,0.0014079,0.0012147,0.00047457,0.00037094
75.646,0.00123,0.0010574,0.00040631,0.00031774
79.248,0.0010746,0.0009205,0.00034786,0.00027217
83.022,0.00093882,0.0008013,0.00029783,0.00023314
86.975,0.0008202,0.00069753,0.00025499,0.00019971
91.116,0.00071646,0.00060697,0.00021809,0.00017089
95.455,0.00062573,0.00052795,0.00018631,0.00014606
100.0,0.00054649,0.00045921,0.00015916,0.00012483
1.0,219.9,212.94,134.34,96.012
1.0476,194.41,188.54,119.21,85.213
1.0975,171.87,166.93,105.78,75.628
1.1498,151.9,147.68,93.767,67.068
1.2045,134.21,130.56,83.038,59.434
1.2619,118.57,115.42,73.536,52.668
1.3219,104.76,102.04,65.121,46.673
